Zone,ARIMA,HoltWinters,LSTM,PCHIP,RandomForest,Spline
Zone-1,1.832,1.931,1.847,261.452,1.859,1378.177
Zone-2,3.459,3.334,3.709,326.479,3.613,3032.719
Zone-3,3.398,3.673,3.714,491.962,3.794,3892.376
Zone-4,2.676,2.602,2.86,250.344,2.786,1676.68
Zone-5,1.652,1.779,1.744,172.188,1.825,1791.461
Zone-6,3.071,3.501,3.664,191.612,3.307,1567.904
