Zone,Model,MAE,RMSE,R2,MAPE,Centroid_Lat,Centroid_Lon
Zone-1,ARIMA,1.687711518982579,1.969473863015385,-1.804829148348981,0.8964012685576783,0.3305896430062603,0.41524675203899436
Zone-2,ARIMA,1.839679004436445,2.6430552816947936,-1.842354491181313,1.514028262955527,1.6360441057438837,-0.3535603063746937
Zone-3,ARIMA,1.4710259995128283,1.757486033822762,-0.7030981049927888,1.4264752997662289,-0.5553055575082708,1.4001837780794153
Zone-4,LSTM,2.810154141064457,3.4540876088083383,-6.048478702447802e+24,1.2850533503093786,0.4112401100387816,-0.6788826399758229
Zone-5,ARIMA,2.9950286503488344,3.5210513949395295,-0.9098243865297352,0.8811321592847141,-1.1818005893129198,-0.5141561529565674
Zone-6,ARIMA,2.772957546070812,3.306889175797226,-11.731978213056516,2.6113455967735617,-0.4731725281181599,-1.444515051705812
