Idx,Lat,Lon,Model,MAE,RMSE,R2,MAPE,Zone
0,23.0,74.25,HoltWinters,1.4308129502165825,1.8622134805696449,0.1576859001870644,0.5058342804502832,Zone-5
0,23.0,74.25,ARIMA,1.5199679882487265,2.1372227131819037,-0.10946779460581935,0.5379867460261785,Zone-5
0,23.0,74.25,Prophet,903.655834560625,1269.5643077805216,-391492.4918147164,319.30424505797794,Zone-5
0,23.0,74.25,RandomForest,1.6898153846153894,2.1237921034899316,-0.09556750301173311,0.5971103738951211,Zone-5
0,23.0,74.25,LSTM,1.4690042818509579,2.2275758960450025,-0.205258374962342,0.5208974276138486,Zone-5
1,23.0,74.5,HoltWinters,2.6643914597230745,2.8064989430570693,-1.6976537776875342,0.6956765693632448,Zone-5
1,23.0,74.5,ARIMA,2.444545454545442,2.788582832708391,-1.6633211841632431,0.636554480900094,Zone-5
1,23.0,74.5,Prophet,426.2274079289003,1075.8169346509335,-396398.59064205765,110.98578025359215,Zone-5
1,23.0,74.5,RandomForest,2.217177777777781,2.4925619971115,-1.1278861272963114,0.5775875102874353,Zone-5
1,23.0,74.5,LSTM,2.3025528971354117,2.5658041225037174,-1.2547761990964004,0.5997778148246505,Zone-5
2,23.25,73.75,HoltWinters,4.523524298525581,4.816982797085904,-3.3151303563734285,3.107099446585908,Zone-5
2,23.25,73.75,ARIMA,4.8469999999999995,5.024146693718249,-3.6942730985879155,3.3248403300871323,Zone-5
2,23.25,73.75,Prophet,523.9072785385479,1056.7640239876769,-207681.43597266093,359.4051420061318,Zone-5
2,23.25,73.75,RandomForest,2.3072850000000047,3.1401582576758784,-0.8337781837149136,1.5999007294148146,Zone-5
2,23.25,73.75,LSTM,4.160845825195312,4.281267340070615,-2.4086972082976494,2.860021994865331,Zone-5
3,23.25,74.0,HoltWinters,2.299592159181318,2.6056791639946515,-0.8976039085686514,1.2887750938352098,Zone-5
3,23.25,74.0,ARIMA,1.519262166405018,1.9083356405994027,-0.01782522189347313,0.8491952454660198,Zone-5
3,23.25,74.0,Prophet,3369.094129490518,4641.400691836559,-6020904.503486774,1881.989435324995,Zone-5
3,23.25,74.0,RandomForest,1.5703153846153883,2.2457633427274692,-0.4095862771723833,0.8809178977702706,Zone-5
3,23.25,74.0,LSTM,2.0061129995492832,2.465838639875116,-0.6993897453998474,1.1197705941612126,Zone-5
4,23.25,74.25,HoltWinters,0.5607808329627708,0.7366683723354319,-0.2787647700033742,0.20824731437158706,Zone-5
4,23.25,74.25,ARIMA,0.8086363636363465,0.9154569152266664,-0.9747968833373228,0.29998758978481277,Zone-5
4,23.25,74.25,Prophet,71.33303993725508,121.47950131536864,-34772.83705524662,26.454347242056798,Zone-5
4,23.25,74.25,RandomForest,0.7281772727272782,0.8681258197194989,-0.775873228376772,0.2701988085802126,Zone-5
4,23.25,74.25,LSTM,0.9810031960227289,1.1042251042251,-1.8731734646855953,0.3638881126220914,Zone-5
5,23.5,73.5,HoltWinters,2.5746898171327697,3.1975904215625683,-0.23133548585131036,0.909145360897244,Zone-5
5,23.5,73.5,ARIMA,2.815259740259731,3.1504981715798444,-0.19533377439952737,0.9955674888461373,Zone-5
5,23.5,73.5,Prophet,709.4375108001349,1833.3379083299596,-404775.94101082,251.52378745280356,Zone-5
5,23.5,73.5,RandomForest,2.7365500000000016,3.2321803359131427,-0.2581195022837688,0.96726058388422,Zone-5
5,23.5,73.5,LSTM,2.815819535688914,3.1311579004719396,-0.180702995773675,0.9959431142251477,Zone-5
6,23.5,73.75,HoltWinters,3.5929236710608707,4.725422678083006,-0.4982171768890913,2.009670369863592,Zone-5
6,23.5,73.75,ARIMA,3.616049123518748,3.860805906215666,-0.00011372505826612311,2.00314519570564,Zone-5
6,23.5,73.75,Prophet,659.50953110885,1134.8135324959164,-86404.71366378358,359.911640383586,Zone-5
6,23.5,73.75,RandomForest,2.681872727272724,2.931748584811705,0.4233040548255713,1.4827526805930138,Zone-5
6,23.5,73.75,LSTM,3.9500295188210206,4.082330847753383,-0.1181751769534698,2.1819919002534034,Zone-5
7,23.5,74.0,HoltWinters,2.0783449363714337,2.550528091098783,0.15117937127259484,1.3588838452405132,Zone-5
7,23.5,74.0,ARIMA,2.301746794871799,2.786936351281654,-0.013467447918208864,1.509431856480168,Zone-5
7,23.5,74.0,Prophet,2814.1810655552877,3870.8530257425386,-1955099.4096458105,1839.501324910934,Zone-5
7,23.5,74.0,RandomForest,2.389211538461539,2.9449801615173548,-0.1316716867895702,1.5700151368096338,Zone-5
7,23.5,74.0,LSTM,2.877635028545674,3.148235652103234,-0.2932728750975988,1.8771443312597287,Zone-5
8,23.5,74.25,HoltWinters,3.6379655938255664,4.282599827940744,-9.758106163792217,1.9412607287258534,Zone-5
8,23.5,74.25,ARIMA,1.2133012820512847,1.4647428606994783,-0.2584721673878323,0.6441293048402633,Zone-5
8,23.5,74.25,Prophet,1811.0464638018218,2719.2833937739533,-4337402.008124044,967.6310656084515,Zone-5
8,23.5,74.25,RandomForest,1.9727307692307714,2.2212967384806146,-1.8942363461291487,1.047675348236645,Zone-5
8,23.5,74.25,LSTM,1.2915403395432703,1.6139429956846687,-0.5279080466862625,0.6906658360708777,Zone-5
9,23.5,74.5,HoltWinters,2.5237760400617284,2.8559057880379575,-0.6455319330527154,0.7681481693894092,Zone-5
9,23.5,74.5,ARIMA,2.325702909422347,2.7424731291134026,-0.5174113332171015,0.7093379234032198,Zone-5
9,23.5,74.5,Prophet,3261.917393605841,4770.4759642843255,-4591365.756199808,991.3216316223763,Zone-5
9,23.5,74.5,RandomForest,1.8869625000000003,2.5229586909932413,-0.28421826033728737,0.5777501018921944,Zone-5
9,23.5,74.5,LSTM,2.2375581868489576,2.5748825539284246,-0.337622023704214,0.6819711522326741,Zone-5
10,23.5,74.75,HoltWinters,1.695012454164891,2.4464691743792075,-1.5283663122758937,0.326791051838591,Zone-5
10,23.5,74.75,ARIMA,1.5601108647449977,1.7556852389189683,-0.30212841077324426,0.3009720350531811,Zone-5
10,23.5,74.75,Prophet,1175.1433567407628,1850.7807040490127,-1447005.3105316733,227.3033369807584,Zone-5
10,23.5,74.75,RandomForest,1.6337863636363594,1.9239186570288338,-0.5636297022579391,0.315093132559973,Zone-5
10,23.5,74.75,LSTM,1.7076440429687678,1.9245610842243344,-0.5646741185102608,0.3293201772789111,Zone-5
11,23.75,73.25,HoltWinters,3.415705269073743,4.070114408466477,-0.6760065371604436,0.9307885710942414,Zone-5
11,23.75,73.25,ARIMA,3.155699999999996,3.392412010649639,-0.16433957274245925,0.8606317524367132,Zone-5
11,23.75,73.25,Prophet,2739.5052855617037,5045.928874872404,-2575992.2645695237,746.7366800011683,Zone-5
11,23.75,73.25,RandomForest,3.908009999999996,4.79734493543043,-1.328436324356594,1.0647545928507764,Zone-5
11,23.75,73.25,LSTM,3.1860012207031274,3.456697162305567,-0.20888542122424236,0.8684384400814242,Zone-5
12,23.75,73.5,HoltWinters,3.592165734734124,4.035568350587298,-0.0971250022061323,1.1665386482464437,Zone-5
12,23.75,73.5,ARIMA,3.647198581560275,4.012122949805739,-0.08441412077445176,1.1811682673727084,Zone-5
12,23.75,73.5,Prophet,4277.787053766454,5667.132264967856,-2163581.175968441,1383.872614011136,Zone-5
12,23.75,73.5,RandomForest,3.8813249999999897,4.301302417921419,-0.24636904395485648,1.2589253430823817,Zone-5
12,23.75,73.5,LSTM,3.7616156005859316,4.100037742904229,-0.1324587892341893,1.2177311509105275,Zone-5
13,23.75,73.75,HoltWinters,1.3748617973861315,1.5898562223487758,0.3322256414191904,0.578064990174488,Zone-5
13,23.75,73.75,ARIMA,2.1954347826086646,2.343054117864916,-0.45036955999226724,0.9207167632717321,Zone-5
13,23.75,73.75,Prophet,1860.3898718632001,3173.2855726313633,-2660309.639658759,775.947279528103,Zone-5
13,23.75,73.75,RandomForest,1.7552458333333287,2.0429975262568605,-0.10268056094939992,0.7354490988962598,Zone-5
13,23.75,73.75,LSTM,2.3234184773763005,2.459577042713396,-0.5982138815359301,0.9739274057247197,Zone-5
14,23.75,74.0,HoltWinters,3.4421292446764187,3.9145329911902964,-2.5952195507180895,1.699945595657228,Zone-5
14,23.75,74.0,ARIMA,2.5242355371900866,2.86635261689489,-0.9276346909314479,1.2406962850179348,Zone-5
14,23.75,74.0,Prophet,1932.658553617336,2368.8453412499425,-1316553.7243835377,949.7841177795938,Zone-5
14,23.75,74.0,RandomForest,3.1169818181818156,3.5528626205434026,-1.9615722443366348,1.5346817922044926,Zone-5
14,23.75,74.0,LSTM,3.07906971324574,3.392137955310635,-1.699681398978416,1.5134609873065454,Zone-5
15,23.75,74.25,HoltWinters,2.842980672552198,3.3778517391956826,-1.9519811798766988,1.3879542262361377,Zone-5
15,23.75,74.25,ARIMA,1.5188232671032285,1.9411584407074642,0.025112758861297713,0.7415423269978558,Zone-5
15,23.75,74.25,Prophet,809.6400895258153,1114.2590462840942,-321220.6100008295,394.56520049915997,Zone-5
15,23.75,74.25,RandomForest,1.3766692307692294,1.9405658636474727,0.02570787528922014,0.6729513520841894,Zone-5
15,23.75,74.25,LSTM,1.633324444110575,2.0088750249831477,-0.04409076920819355,0.7971273179368287,Zone-5
16,23.75,74.5,HoltWinters,2.7553764726433823,3.6899532207222263,0.3346238576251116,0.6323798360142957,Zone-5
16,23.75,74.5,ARIMA,2.672299395298074,3.8403084271054397,0.27929470211943885,0.6134802395346378,Zone-5
16,23.75,74.5,Prophet,2409.6462359842485,3762.3736738134426,-691749.3024895085,555.1319492924081,Zone-5
16,23.75,74.5,RandomForest,2.843200000000009,3.951578739164675,0.23692577518344893,0.6532649029589056,Zone-5
16,23.75,74.5,LSTM,4.385127618963074,4.529219916395076,-0.0024721603973354433,1.010444061742727,Zone-5
17,23.75,74.75,HoltWinters,2.059109190807038,2.712490885553962,0.23800292198585105,0.4314221990139201,Zone-5
17,23.75,74.75,ARIMA,2.8489999999999895,3.3932138276787946,-0.19244727956240548,0.595485127223379,Zone-5
17,23.75,74.75,Prophet,94.1646975488978,149.83277380477884,-2324.039684483847,19.777421092667375,Zone-5
17,23.75,74.75,RandomForest,3.082149999999996,3.527424775526756,-0.2886419132803528,0.6443039628358957,Zone-5
17,23.75,74.75,LSTM,2.962880737304681,3.6749981732366934,-0.3987206478266969,0.6186788727726352,Zone-5
18,23.75,75.5,HoltWinters,2.2024249436762924,2.8926310204695356,-0.28154465061703915,0.5128054679954833,Zone-5
18,23.75,75.5,ARIMA,2.2218269230769114,2.8922049788047515,-0.281167173362346,0.5168544474681559,Zone-5
18,23.75,75.5,Prophet,1616.352738226702,2214.022116010237,-750777.0607383506,378.07760019897756,Zone-5
18,23.75,75.5,RandomForest,2.7660115384615334,3.4363096163505276,-0.80855715691706,0.6435438033274086,Zone-5
18,23.75,75.5,LSTM,2.2870458045372595,2.967896615515054,-0.349103287977657,0.5319744312722308,Zone-5
19,23.75,75.75,HoltWinters,5.9889421491317805,7.227909040974304,-0.7051669896658621,1.2972331225722098,Zone-5
19,23.75,75.75,ARIMA,6.022198275862081,6.955816295440097,-0.5792022959634886,1.2992295164484733,Zone-5
19,23.75,75.75,Prophet,1708.0369113086595,2268.3165583437362,-167936.96470819236,368.47625579887176,Zone-5
19,23.75,75.75,RandomForest,5.844799999999999,7.097817818218838,-0.6443386136974794,1.2630244575669904,Zone-5
19,23.75,75.75,LSTM,5.664445800781252,6.419955894742893,-0.34525820110361893,1.2227499997860691,Zone-5
20,23.75,83.0,HoltWinters,2.1628739552769027,2.7285655709401553,-0.2664048438613529,0.5774842451132184,Zone-3
20,23.75,83.0,ARIMA,1.8693552125511228,2.745004640681533,-0.28171049127097225,0.49767079543352455,Zone-3
20,23.75,83.0,Prophet,13.16967053272126,22.474038268331824,-84.91440866456122,3.529915880112311,Zone-3
20,23.75,83.0,RandomForest,2.1030041666666697,2.6982955074685693,-0.23846230850928096,0.5607484783853919,Zone-3
20,23.75,83.0,LSTM,1.789290873209642,2.544271991623187,-0.10111035625342701,0.47660304059059094,Zone-3
21,24.0,73.25,HoltWinters,2.2727073347661375,2.4636546054469535,-0.050020796522984856,0.4618458056598338,Zone-5
21,24.0,73.25,ARIMA,2.7176652892561814,3.1926971890407843,-0.763411698892184,0.5508249364767575,Zone-5
21,24.0,73.25,Prophet,2277.8469018972337,3293.964644125222,-1877050.2243551894,464.6697202352474,Zone-5
21,24.0,73.25,RandomForest,2.6300227272727223,3.0455093177944303,-0.6045679861669584,0.5332499054033564,Zone-5
21,24.0,73.25,LSTM,3.5238538707386367,4.119556349416825,-1.9358857660722957,0.7141128733483673,Zone-5
22,24.0,73.5,HoltWinters,1.2106769602841216,1.5909366110609786,0.08371861896875188,0.32980790893598877,Zone-5
22,24.0,73.5,ARIMA,1.5232182103610863,1.7322936030288096,-0.08634085535747316,0.4140894363215102,Zone-5
22,24.0,73.5,Prophet,2689.645700449626,3679.6525768759925,-4901586.287377249,730.5768409193892,Zone-5
22,24.0,73.5,RandomForest,1.7506307692307683,2.093281410388225,-0.586274500423275,0.47640549090305595,Zone-5
22,24.0,73.5,LSTM,1.4979625525841305,1.7234276798862924,-0.0752494703867761,0.40725620408744967,Zone-5
23,24.0,73.75,HoltWinters,5.659603825296491,6.52975299486774,-10.292372740282344,2.3371565396105973,Zone-5
23,24.0,73.75,ARIMA,3.8961508037837294,4.353824200477646,-4.020343999905301,1.6090221277148968,Zone-5
23,24.0,73.75,Prophet,3538.6274232064607,4851.097617250585,-6232634.460457175,1455.9603143819495,Zone-5
23,24.0,73.75,RandomForest,1.869576923076918,2.295716618048621,-0.39581626401092773,0.7660152408359835,Zone-5
23,24.0,73.75,LSTM,2.618337918795069,3.1521455188553573,-1.6315050964235494,1.082598645280166,Zone-5
24,24.0,74.0,HoltWinters,1.1374459680754068,1.3010764400440369,-1.460266310139529,0.4392175796349246,Zone-5
24,24.0,74.0,ARIMA,1.0033333333333398,1.1295279249905095,-0.8542591844974299,0.3866628834155726,Zone-5
24,24.0,74.0,Prophet,1769.5504187671806,2974.374730457234,-12857834.338658566,681.2783327290554,Zone-5
24,24.0,74.0,RandomForest,1.3032374999999945,1.5956421806099474,-2.7003901036536297,0.5019149091131662,Zone-5
24,24.0,74.0,LSTM,1.0877204386393184,1.2623130071507895,-1.3158509733062052,0.41905226896417563,Zone-5
25,24.0,74.25,HoltWinters,4.411363909494707,5.073817927322655,-5.747926177221268,1.7839259497536386,Zone-5
25,24.0,74.25,ARIMA,1.4984826974374477,1.9498901838023945,0.003400026264964273,0.6061920166503901,Zone-5
25,24.0,74.25,Prophet,712.3950743626101,1613.9046696685741,-682740.531276452,289.60040294537305,Zone-5
25,24.0,74.25,RandomForest,2.5813181818181685,3.244051992983734,-1.7585202582447481,1.0455258194242976,Zone-5
25,24.0,74.25,LSTM,1.5324221524325259,2.074091595777069,-0.12760353569545302,0.620690191615106,Zone-5
26,24.0,74.5,HoltWinters,2.798847528151929,3.9780393308807196,-0.14995066482660402,0.6846987704833972,Zone-5
26,24.0,74.5,ARIMA,2.8152083333333167,3.717188701193115,-0.004084539616176608,0.6870421382417458,Zone-5
26,24.0,74.5,Prophet,2077.311811376717,3436.0990964347625,-857969.6350439554,501.40865972772383,Zone-5
26,24.0,74.5,RandomForest,3.8991416666666603,4.914562991084077,-0.7551364075782627,0.9481402546248461,Zone-5
26,24.0,74.5,LSTM,2.965956013997394,3.8344011560325235,-0.06840560355079961,0.723600096631691,Zone-5
27,24.0,74.75,HoltWinters,1.5982447402840412,1.9684410158832126,-1.058646186408533,0.3333859858441836,Zone-5
27,24.0,74.75,ARIMA,1.2328571428571216,1.4138385099071316,-0.06202933802953137,0.2571160239516923,Zone-5
27,24.0,74.75,Prophet,2225.054904394448,3857.781701106049,-7907007.3622547705,464.5037926432195,Zone-5
27,24.0,74.75,RandomForest,1.4010681818181752,1.5928757988875917,-0.34803363498309303,0.29209372502385644,Zone-5
27,24.0,74.75,LSTM,1.230523348721585,1.4183650198891622,-0.06884055700533476,0.2566418088828696,Zone-5
28,24.0,75.75,HoltWinters,2.0572761978402285,2.5968334213642854,-0.4673940234662193,0.4882753864362503,Zone-5
28,24.0,75.75,ARIMA,2.3393559710077625,2.6994973612378166,-0.585712233311777,0.555191861993959,Zone-5
28,24.0,75.75,Prophet,1619.5805238119583,2854.57460507056,-1773132.1849140509,385.84004589938985,Zone-5
28,24.0,75.75,RandomForest,2.31083846153845,2.6002764205131923,-0.47128767761746904,0.5486355088620493,Zone-5
28,24.0,75.75,LSTM,2.300871112530051,2.6350391453751794,-0.5108895060283707,0.5461596059142774,Zone-5
