Lat,Lon,Best_Model,R2
25.0,79.75,LSTM,0.09140554129957901
25.0,80.25,LSTM,-0.4337230138879562
25.0,80.5,SARIMA,-0.12494918273940447
25.0,80.75,SARIMA,-0.17570482266119525
25.0,81.0,RNN,0.11590128472518024
25.0,81.25,SARIMA,-0.07566914201134911
25.0,81.5,SARIMA,0.23306368247744058
25.0,81.75,SARIMA,0.07429276576100474
25.0,82.0,SARIMA,0.2610929665834696
25.0,82.25,RNN,0.3098064913056804
25.0,82.5,SARIMA,-0.2326091409756028
25.0,82.75,RNN,-0.3079469875986567
25.0,83.0,SARIMA,0.3150847966689584
25.25,70.75,LSTM,0.13261104163930315
25.25,71.0,LSTM,0.04187743000728039
25.25,71.25,PCHIP,-0.32301802520338074
25.25,71.5,LSTM,-0.21582808229740924
25.25,72.0,SARIMA,-1.7022702920913133
25.25,72.25,SARIMA,-1.3733655927024033
25.25,72.5,PCHIP,0.16432994077766772
25.25,72.75,LSTM,0.3783189573476089
25.25,73.0,LSTM,0.04058600523686495
25.25,73.25,PCHIP,-0.20468684274613458
25.25,73.5,PCHIP,-1.8083930806580009
25.25,73.75,RNN,-0.22762415177928585
25.25,74.0,SARIMA,-0.911577706425601
25.25,74.5,RNN,0.14553022005723792
25.25,74.75,SARIMA,0.06131900819329206
25.25,75.0,RNN,0.019709985720024248
25.25,75.5,SARIMA,-0.0335363252317451
25.25,75.75,PCHIP,-0.18389373064769488
25.25,76.0,RNN,-1.3258324769674825
25.25,76.25,SARIMA,-0.038536133793926064
25.25,76.5,SARIMA,-0.09131506406912537
25.25,77.0,SARIMA,-0.04535961096757535
25.25,77.25,SARIMA,0.06081320832484083
25.25,78.25,RNN,0.18291691910710772
25.25,78.5,SARIMA,0.29651682923642975
25.25,78.75,RNN,0.2853064951822971
25.25,79.0,LSTM,-1.9652892707057559
25.25,79.25,RNN,-0.007524774762154296
25.25,79.5,RNN,-0.3168747150575697
25.25,79.75,RNN,-0.29310512343213957
25.25,80.0,LSTM,0.08800933838168268
25.25,80.25,SARIMA,-1.349963698470408
25.25,80.5,RNN,0.15906466744643388
25.25,80.75,SARIMA,0.06338945517165862
25.25,81.0,LSTM,0.348201625147178
25.25,81.25,LSTM,0.13574911421787605
25.25,81.5,LSTM,0.07246145635188705
25.25,81.75,RNN,0.11140716058595301
25.25,82.0,RNN,0.32904525442083854
25.25,82.25,SARIMA,-0.08785562837594552
25.25,82.5,LSTM,-0.16463415114677238
25.25,82.75,LSTM,0.019302997903550945
25.25,83.0,LSTM,-0.041096822007625544
25.25,83.25,RNN,0.6602177548972934
25.25,83.5,RNN,0.15048223415511808
25.25,83.75,LSTM,-0.07516205406288612
25.5,70.5,LSTM,-0.06662035416028989
25.5,70.75,LSTM,0.06930816997394296
25.5,71.0,SARIMA,-0.9262924150309684
25.5,71.25,RNN,-0.19759066544320292
25.5,71.5,LSTM,-0.1991796741798697
25.5,71.75,RNN,0.036171657388432754
25.5,72.5,PCHIP,-1.752050330906389
25.5,72.75,LSTM,-16.061842729000304
25.5,73.25,SARIMA,-1.431782077478959
25.5,73.75,SARIMA,0.08796081239026965
25.5,74.0,SARIMA,-0.06447820295264872
25.5,74.25,LSTM,0.02987840051020818
25.5,74.5,LSTM,-0.42374575482656796
25.5,74.75,SARIMA,0.2541196772572808
25.5,75.0,LSTM,0.07203057105014155
25.5,75.25,RNN,0.10726968236533285
25.5,75.5,LSTM,0.07022474700454118
25.5,75.75,RNN,-0.05620008433973389
25.5,76.0,SARIMA,-0.09155633786166617
25.5,76.25,RNN,0.056674420917428026
25.5,78.75,RNN,0.1675807552494617
25.5,79.0,SARIMA,0.06273422219664493
25.5,79.25,PCHIP,0.0
25.5,79.5,RNN,0.024797506265922586
25.5,79.75,SARIMA,0.007424893582919423
25.5,80.0,RNN,0.016996139772027075
25.5,80.25,LSTM,-0.1792459447717849
25.5,80.5,RNN,-1.7159424169923532
25.5,80.75,SARIMA,0.09312649913322824
25.5,81.0,PCHIP,0.0
25.5,81.25,RNN,-0.004842106624122211
25.5,81.5,LSTM,0.007157250371353285
25.5,81.75,RNN,-0.7292228404688914
25.5,82.0,RNN,-0.09998071550687992
25.5,82.25,SARIMA,0.0329125364484244
25.5,82.5,LSTM,-0.11615795771560955
25.5,82.75,SARIMA,-0.84278070435748
25.5,83.0,RNN,0.06693330912867423
25.5,83.25,LSTM,-0.06280966595548976
25.5,83.5,SARIMA,0.15896384303328182
25.5,83.75,LSTM,0.06558288418357727
25.5,84.0,SARIMA,0.21838007641414103
25.5,84.25,SARIMA,-0.0390667540636187
25.5,84.5,LSTM,0.022015395147212846
25.75,70.0,LSTM,-0.8262812285066459
25.75,70.25,PCHIP,-6.2126450457918585
25.75,70.75,RNN,-1.787252404580855
25.75,71.0,SARIMA,-0.6364951445350191
25.75,71.25,RNN,-0.7599057583268076
25.75,71.5,RNN,-0.8796380019249632
25.75,71.75,PCHIP,-0.6990291262136326
25.75,72.25,RNN,-0.06675047600949346
25.75,72.5,RNN,-0.4504776979036327
25.75,73.0,RNN,0.09477553922115056
25.75,73.25,LSTM,-0.10062367375597359
25.75,73.5,LSTM,-6.913550156937513
25.75,74.0,PCHIP,-0.03399354287209699
25.75,74.25,LSTM,-1.970284771048353
25.75,74.5,RNN,0.02023387410145605
25.75,74.75,SARIMA,-0.026214853582764208
25.75,75.0,SARIMA,-0.09915075056435385
25.75,75.25,RNN,-0.25473657762127755
25.75,75.5,RNN,-0.9396970748254843
25.75,75.75,LSTM,-0.2728486022442347
25.75,76.0,LSTM,-0.09230805594900171
25.75,76.25,RNN,-0.10225895714112743
25.75,76.5,RNN,-0.07934363081960205
25.75,78.75,SARIMA,-0.10215519691460218
25.75,79.0,SARIMA,0.09244897092427107
25.75,79.25,LSTM,-0.42799162120404444
25.75,79.5,RNN,-0.7802702387948719
25.75,79.75,SARIMA,-1.8811675597552053
25.75,80.0,LSTM,-0.8678664772536748
25.75,80.25,LSTM,-7.045653587546925
25.75,80.5,LSTM,-0.03311880998705741
25.75,80.75,RNN,0.0166923056280196
25.75,81.0,LSTM,0.016353599009234387
25.75,81.25,RNN,-0.006403097975856031
25.75,81.5,RNN,0.1579573889815391
25.75,81.75,SARIMA,0.03309813572655107
25.75,82.0,SARIMA,-0.002601427782877197
25.75,82.25,SARIMA,0.19760871197493934
